model_name,selected_for_stage14,vocab_size,subwords_per_word_fertility,single_token_coverage_pct,fragmentation_rate_pct,oov_rate_pct,oov_status,avg_pieces_per_term,median_pieces,p95_pieces,max_pieces,tokenizer_speed_tok_sec
bert-base-uncased,True,30522,1.3984,73.43,26.57,0.0,measured,1.35,1.0,3.0,5,61089.25
dmis-lab/biobert-base-cased-v1.2,True,28996,1.4789,64.48,35.52,0.0,measured,1.48,1.0,3.0,5,64952.52
nlpaueb/legal-bert-base-uncased,True,30522,1.4806,62.09,37.91,0.03,measured,1.51,1.0,3.0,5,62212.77
allenai/scibert_scivocab_uncased,True,31090,1.4517,57.91,42.09,0.0,measured,1.53,1.0,3.0,4,61480.72
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,True,30522,1.4543,57.31,42.69,0.0,measured,1.59,1.0,3.0,5,63962.96
answerdotai/ModernBERT-base,True,50280,1.5236,36.72,63.28,N/A,not_applicable,1.84,2.0,3.0,5,73966.62
roberta-base,True,50265,1.5609,34.93,65.07,N/A,not_applicable,1.86,2.0,3.0,4,69638.96
bert-large-uncased,False,30522,1.3984,73.43,26.57,0.0,measured,1.35,1.0,3.0,5,61925.92
ProsusAI/finbert,False,30522,1.3984,73.43,26.57,0.0,measured,1.35,1.0,3.0,5,53346.98
google/electra-base-discriminator,False,30522,1.3984,73.43,26.57,0.0,measured,1.35,1.0,3.0,5,61445.01
distilbert-base-uncased,False,30522,1.3984,73.43,26.57,0.0,measured,1.35,1.0,3.0,5,57713.57
emilyalsentzer/Bio_ClinicalBERT,False,28996,1.4789,64.48,35.52,0.0,measured,1.48,1.0,3.0,5,59272.76
